Community Centre Name,Address,Postal code
ACE The Place Our Community Club @ Admiralty,Block 547 Woodlands Drive 16 #01-177 Singapore ,730547
Aljunied Community Centre,Block 110 Hougang Avenue 1 #01-1048 Singapore ,530110
Anchorvale Community Club,59 Anchorvale Road Singapore,544965
Ang Mo Kio Community Centre,795 Ang Mo Kio Avenue 1 Singapore,569976
Ayer Rajah Community Centre,150 Pandan Gardens Singapore,609335
Bedok Community Centre,850 New Upper Changi Road Singapore ,467352
Bishan Community Club,51 Bishan Street 13 Singapore,579799
Bishan North Community Centre,Block 233 Bishan Street 22 #01-126 Singapore,570233
Boon Lay Community Centre,10 Boon Lay Place Singapore ,649882
Braddell Heights Community Club,50 Serangoon Avenue 2 #01-01 Singapore ,556129
Bukit Batok Community Club,21 Bukit Batok Central Singapore ,659959
Bukit Batok East Community Club,23 Bukit Batok East Avenue 4 Singapore ,659841
Bukit Merah Community Centre,4000 Jalan Bukit Merah Singapore ,159465
Bukit Panjang Community Club,8 Pending Road Singapore ,678295
Bukit Timah Community Club,20 Toh Yi Drive Singapore ,596569
Buona Vista Community Club,Block 36 Holland Drive #01-01 Singapore ,270036
Cairnhill Community Club,1 Anthony Road Singapore ,229944
Canberra Community Club,02 Sembawang Crescent #01-01 Singapore ,757632
Changi Simei Community Club,10 Simei Street 2 Singapore ,529915
Cheng San Community Club,6 Ang Mo Kio Street 53 Singapore ,569205
Chong Pang Community Club,Blk 126 Yishun Street 11 #01-427 Singapore ,760126
Chua Chu Kang Community Club,35 Teck Whye Avenue Singapore ,688892
Ci Yuan Community Club,51 Hougang Ave 9 #01-01 Singapore ,538776
Clementi Community Centre,220 Clementi Avenue 4 Singapore ,129880
Dover Community Centre,Block 1 Dover Road #01-300 Singapore ,130001
